Time,Jogador,Rating,Colocação
Flamengo,Giorgian De Arrascaeta,7.49,1
Palmeiras,Gustavo Scarpa,7.34,2
Red Bull Bragantino,Artur,7.33,3
Athletico,Nikão,7.32,4
Ceará,João Ricardo,7.32,5
Fortaleza,Lucas Crispim,7.28,6
Red Bull Bragantino,Léo Ortiz,7.26,7
Internacional,Edenilson,7.25,8
Atlético Mineiro,Hulk,7.24,9
Palmeiras,Raphael Veiga,7.23,10
Flamengo,Filipe Luís,7.23,11
Flamengo,Gabriel Barbosa,7.21,12
Sport Recife,Mailson,7.20,13
Athletico,David Terans,7.19,14
Fluminense,Danilo Barcelos,7.18,15
Ceará,Vina,7.18,16
Flamengo,Bruno Henrique,7.18,17
América Mineiro,Ademir,7.17,18
Internacional,Daniel,7.17,19
São Paulo,Robert Arboleda,7.16,20
Palmeiras,Felipe Melo,7.05,61
Fortaleza,Éderson,7.04,62
Corinthians,Renato Augusto,7.04,63
Red Bull Bragantino,Tomás Cuello,7.04,64
Atlético Mineiro,Éverson,7.04,65
Chapecoense,Keiller,7.04,66
São Paulo,Emiliano Rigoni,7.04,67
Grêmio,Lucas Silva,7.04,68
Red Bull Bragantino,Aderlan,7.02,69
Grêmio,Rafinha,7.02,70
Fluminense,Marlon,7.02,71
Red Bull Bragantino,Fabrício Bruno,7.02,72
Sport Recife,Sander,7.02,73
Bahia,Danilo Fernandes,7.02,74
Internacional,Yuri Alberto,7.02,75
Fortaleza,Lucas Lima,7.02,76
Juventude,Ricardo Bueno,7.02,77
Red Bull Bragantino,Lucas Evangelista,7.01,78
Palmeiras,Jailson,7.01,79
Fluminense,Egídio,7.01,80
Flamengo,Mauricio Isla,6.96,121
Santos,Jean Mota,6.96,122
Grêmio,Diego Souza,6.95,123
Atlético Mineiro,Junior Alonso,6.95,124
Internacional,Víctor Cuesta,6.95,125
Atlético Mineiro,Jefferson Savarino,6.95,126
São Paulo,Miranda,6.95,127
Santos,Luiz Felipe,6.95,128
América Mineiro,Fabrício Daniel,6.95,129
Athletico,Khellven,6.95,130
América Mineiro,Mauro Zárate,6.94,131
Santos,Felipe Jonatan,6.94,132
Santos,Danilo Boza,6.94,133
Corinthians,Gabriel,6.93,134
Red Bull Bragantino,Helinho,6.93,135
Juventude,Dawhan,6.93,136
Flamengo,Gustavo Henrique,6.93,137
Palmeiras,Weverton,6.93,138
Red Bull Bragantino,Luan Cândido,6.93,139
Ceará,Fernando Sobral,6.93,140
Santos,Carlos Sánchez,6.88,181
Internacional,Gabriel Mercado,6.88,182
Internacional,Carlos Palacios,6.88,183
Grêmio,Rodrigues,6.88,184
Fluminense,Juan Cazares,6.87,185
Internacional,Bruno Méndez,6.87,186
Juventude,Douglas Friedrich,6.87,187
América Mineiro,Anderson,6.87,188
Fortaleza,Ronald,6.87,189
Flamengo,Pedro,6.87,190
Juventude,Jádson,6.87,191
Bahia,Matheus Bahia,6.87,192
Grêmio,Jaminton Campaz,6.86,193
Sport Recife,Ewerthon,6.86,194
Palmeiras,Breno Lopes,6.86,195
Ceará,Fabinho,6.86,196
Chapecoense,Anderson Leite,6.86,197
Red Bull Bragantino,Jadsom,6.86,198
Fluminense,Martinelli,6.86,199
Bahia,Nino Paraíba,6.86,200
Sport Recife,Chico,6.82,241
Fortaleza,Marcelo Boeck,6.82,242
Atlético Mineiro,Calebe,6.82,243
Flamengo,Bruno Viana,6.81,244
Sport Recife,Gustavo,6.81,245
Bahia,Lucas Mugni,6.81,246
Juventude,William Matheus,6.81,247
Red Bull Bragantino,Weverton,6.81,248
São Paulo,Bruno Alves,6.81,249
Atlético Goianiense,Arnaldo,6.81,250
Atlético Mineiro,Dodô,6.81,251
Grêmio,Brenno,6.81,252
Corinthians,Adson,6.81,253
Ceará,Igor,6.81,254
São Paulo,Welington,6.81,255
Sport Recife,Hernanes,6.81,256
Grêmio,Miguel Borja,6.81,257
Grêmio,Gabriel Grando,6.80,258
Atlético Goianiense,Igor Cariús,6.80,259
Cuiabá,Jenison,6.80,260
Sport Recife,Everton Felipe,6.76,301
Juventude,Rafael Forster,6.76,302
Cuiabá,Max,6.76,303
Ceará,Jael,6.76,304
América Mineiro,Felipe Azevedo,6.75,305
Internacional,Moisés,6.75,306
São Paulo,Liziero,6.75,307
Cuiabá,Auremir,6.75,308
América Mineiro,Zé Ricardo,6.75,309
Cuiabá,Camilo,6.75,310
Ceará,Cléber,6.74,311
Juventude,Sorriso,6.74,312
Corinthians,Mateus Vital,6.74,313
Palmeiras,Luiz Adriano,6.74,314
Chapecoense,Kaio Nunes,6.74,315
Santos,Vinicius Zanocelo,6.74,316
Fluminense,Raúl Bobadilla,6.74,317
Bahia,Patrick de Lucca,6.74,318
Palmeiras,Danilo Barbosa,6.74,319
Internacional,Patrick,6.74,320
Bahia,Edson Fernando,6.69,361
Santos,Pará,6.69,362
Fortaleza,Ángelo Henríquez,6.69,363
São Paulo,Éder,6.68,364
Athletico,Pedro Rocha,6.68,365
Chapecoense,João Paulo,6.68,366
Internacional,Johnny,6.68,367
Ceará,Kelvyn,6.68,368
Cuiabá,Osman,6.67,369
América Mineiro,Marcelo Toscano,6.67,370
Sport Recife,Ronaldo Henrique,6.67,371
Cuiabá,Jonathan Cafú,6.67,372
Atlético Mineiro,Tchê Tchê,6.67,373
Corinthians,Roni,6.67,374
Juventude,Wescley,6.66,375
Chapecoense,Rodriguinho,6.66,376
Fluminense,Kayky,6.66,377
São Paulo,Vitor Bueno,6.66,378
São Paulo,Jonathan Calleri,6.66,379
Internacional,Heitor,6.66,380
Grêmio,Darlan,6.62,421
Red Bull Bragantino,Jan Hurtado,6.62,422
Chapecoense,Lima,6.62,423
América Mineiro,Ribamar,6.62,424
Corinthians,Xavier,6.62,425
Bahia,Matheus Teixeira,6.61,426
Internacional,Renzo Saravia,6.61,427
Sport Recife,Santiago Tréllez,6.60,428
Fortaleza,Wellington Paulista,6.60,429
Ceará,Yony González,6.60,430
América Mineiro,Alan Ruschel,6.60,431
Cuiabá,Yuri,6.60,432
Chapecoense,Perotti,6.60,433
Chapecoense,Ronei,6.59,434
Chapecoense,Geuvânio,6.59,435
Cuiabá,Danilo Gomes,6.58,436
Santos,Ângelo,6.58,437
Red Bull Bragantino,Eric Ramires,6.58,438
Flamengo,Kenedy,6.57,439
Grêmio,Bruno Cortez,6.57,440
América Mineiro,Juninho Valoura,7.16,21
Red Bull Bragantino,Cleiton,7.15,22
América Mineiro,Matheus Cavichioli,7.15,23
Corinthians,Fagner,7.14,24
Palmeiras,Marcos Rocha,7.14,25
Santos,João Paulo,7.14,26
Internacional,Rodrigo Dourado,7.13,27
Corinthians,Róger Guedes,7.13,28
Flamengo,Vitinho,7.13,29
Palmeiras,Gustavo Gómez,7.12,30
Athletico,Thiago Heleno,7.11,31
Red Bull Bragantino,Ytalo,7.10,32
Fluminense,Nino,7.09,33
Flamengo,Rodrigo Caio,7.09,34
Atlético Goianiense,Fernando Miguel,7.09,35
Flamengo,Everton Ribeiro,7.09,36
Juventude,Matheus Peixoto,7.08,37
Cuiabá,João Lucas,7.08,38
Atlético Mineiro,Guilherme Arana,7.08,39
Corinthians,João Victor,7.08,40
América Mineiro,Marlon Lopes,7.01,81
Fluminense,David Braz,7.01,82
Fortaleza,Yago Pikachu,7.01,83
Grêmio,Douglas Costa,7.01,84
Bahia,Gilberto,7.01,85
Atlético Mineiro,Réver,7.01,86
Flamengo,Michael,7.00,87
Cuiabá,Paulão,7.00,88
Bahia,Juninho Capixaba,7.00,89
Flamengo,Léo Pereira,6.99,90
Palmeiras,Gabriel Menino,6.99,91
Chapecoense,Ravanelli,6.99,92
Grêmio,Jhonata Robert,6.99,93
São Paulo,Luciano,6.99,94
Corinthians,Cássio,6.99,95
Corinthians,Fábio Santos,6.99,96
Sport Recife,Rafael Thyere,6.99,97
Bahia,Hugo Rodallega,6.99,98
Atlético Goianiense,João Paulo,6.98,99
Atlético Goianiense,Marlon Freitas,6.98,100
Atlético Goianiense,Baralhas,6.93,141
América Mineiro,Ricardo Silva,6.93,142
Corinthians,Jô,6.93,143
Fluminense,Yago Felipe,6.93,144
Juventude,Guilherme Castilho,6.92,145
Sport Recife,Mikael,6.92,146
Cuiabá,Rafael Gava,6.92,147
Grêmio,Thiago Santos,6.92,148
Cuiabá,Marllon,6.92,149
Chapecoense,Busanello,6.92,150
Fortaleza,Felipe Alves,6.92,151
Santos,Marinho,6.91,152
