Jogador,Posição,Preço,Time
Jori,Goleiro,0.3,América Mineiro
Airton,Goleiro,0.25,América Mineiro
Matheus Cavichioli,Goleiro,0.2,América Mineiro
Messias,Zagueiro,0.525,América Mineiro
Eduardo Bauermann,Zagueiro,0.5,América Mineiro
Anderson,Zagueiro,0.5,América Mineiro
Ricardo Silva,Zagueiro,0.1,América Mineiro
Zé Vitor,Zagueiro,0.05,América Mineiro
João Paulo,Lateral Esq.,0.475,América Mineiro
Alan Ruschel,Lateral Esq.,0.325,América Mineiro
Zé Vitor,Lateral Esq.,0.1,América Mineiro
Lucas Luan,Lateral Esq.,0.05,América Mineiro
Marlon Lopes,Lateral Esq.,0.05,América Mineiro
Patric,Lateral Dir.,0.8,América Mineiro
Eduardo,Lateral Dir.,0.35,América Mineiro
Diego Ferreira,Lateral Dir.,0.2,América Mineiro
Zé Ricardo,Volante,1.5,América Mineiro
Juninho,Volante,0.75,América Mineiro
Lucas Kal,Volante,0.5,América Mineiro
Sabino,Volante,0.1,América Mineiro
Juninho Valoura,Meia Central,0.5,América Mineiro
Ramon,Meia Central,0.2,América Mineiro
Gustavinho,Meia Central,0.2,América Mineiro
Léo Gomes,Meia Central,0.15,América Mineiro
Lucas Gabriel,Meia Central,0.05,América Mineiro
Isaque,Meia Ofensivo,1.3,América Mineiro
Bruno Nazário,Meia Ofensivo,0.8,América Mineiro
Alê,Meia Ofensivo,0.5,América Mineiro
Yan Sasse,Meia Ofensivo,0.5,América Mineiro
Geovane,Meia Ofensivo,0.2,América Mineiro
Felipe Azevedo,Ponta Esquerda,0.5,América Mineiro
Luiz Fernando,Ponta Esquerda,0.05,América Mineiro
Orlando Berrío,Ponta Direita,1.0,América Mineiro
Leandro Carvalho,Ponta Direita,0.7,América Mineiro
Ademir,Ponta Direita,0.5,América Mineiro
Carlos Alberto,Ponta Direita,0.05,América Mineiro
Mauro Zárate,Seg. Atacante,1.0,América Mineiro
Rodolfo,Centroavante,1.0,América Mineiro
Ribamar,Centroavante,0.6,América Mineiro
Marcelo Toscano,Centroavante,0.4,América Mineiro
Chrigor,Centroavante,0.25,América Mineiro
Léo Passos,Centroavante,0.15,América Mineiro
Lohan,Centroavante,0.1,América Mineiro
Vitão,Centroavante,0.1,América Mineiro
Santos,Goleiro,2.5,Athletico
Anderson Paixão,Goleiro,0.2,Athletico
Bento,Goleiro,0.05,Athletico
Lucas Halter,Zagueiro,4.0,Athletico
Pedro Henrique,Zagueiro,2.5,Athletico
Thiago Heleno,Zagueiro,1.6,Athletico
Felipe Aguilar,Zagueiro,1.2,Athletico
Zé Ivaldo,Zagueiro,0.75,Athletico
Lucas Fasson,Zagueiro,0.65,Athletico
Nicolás Hernández,Zagueiro,0.5,Athletico
Luan Patrick,Zagueiro,0.25,Athletico
Edu,Zagueiro,0.025,Athletico
Abner Vinícius,Lateral Esq.,7.5,Athletico
Nicolas,Lateral Esq.,0.7,Athletico
Márcio Azevedo,Lateral Esq.,0.6,Athletico
Khellven,Lateral Dir.,4.7,Athletico
Marcinho,Lateral Dir.,1.0,Athletico
Richard Coelho,Volante,1.5,Athletico
Jaime Alvarado,Volante,0.45,Athletico
Christian,Meia Central,4.5,Athletico
Léo Cittadini,Meia Central,2.0,Athletico
Erick,Meia Central,1.5,Athletico
Nikão,Meia Ofensivo,1.4,Athletico
David Terans,Meia Ofensivo,1.4,Athletico
Fernando Canesin,Meia Ofensivo,1.1,Athletico
Jádson,Meia Ofensivo,0.5,Athletico
Matheus Anjos,Meia Ofensivo,0.1,Athletico
Kawan,Meia Ofensivo,0.1,Athletico
Vitinho,Ponta Esquerda,3.5,Athletico
Pedro Rocha,Ponta Esquerda,1.5,Athletico
Carlos Eduardo,Ponta Direita,3.0,Athletico
Reinaldo,Ponta Direita,0.75,Athletico
Yago César,Ponta Direita,0.4,Athletico
Jajá,Ponta Direita,0.05,Athletico
Renato Kayzer,Centroavante,2.0,Athletico
Matheus Babi,Centroavante,2.0,Athletico
Vinicius Mingotti,Centroavante,0.8,Athletico
Guilherme Bissoli,Centroavante,0.6,Athletico
Fernando Miguel,Goleiro,0.65,Atlético Goianiense
Luan Polli,Goleiro,0.6,Atlético Goianiense
Mauricio Kozlinski,Goleiro,0.35,Atlético Goianiense
Leonardo,Goleiro,0.025,Atlético Goianiense
Pedro Henrique,Zagueiro,1.7,Atlético Goianiense
Éder,Zagueiro,0.85,Atlético Goianiense
Nathan Silva,Zagueiro,0.6,Atlético Goianiense
Gilvan,Zagueiro,0.475,Atlético Goianiense
Werley,Zagueiro,0.45,Atlético Goianiense
Oliveira,Zagueiro,0.4,Atlético Goianiense
Wanderson,Zagueiro,0.35,Atlético Goianiense
Michel,Zagueiro,0.05,Atlético Goianiense
Natanael,Lateral Esq.,1.3,Atlético Goianiense
Nicolas,Lateral Esq.,0.7,Atlético Goianiense
Jefferson,Lateral Esq.,0.6,Atlético Goianiense
Arthur Henrique,Lateral Esq.,0.475,Atlético Goianiense
Igor Cariús,Lateral Esq.,0.325,Atlético Goianiense
Dudu,Lateral Dir.,0.85,Atlético Goianiense
Arnaldo,Lateral Dir.,0.55,Atlético Goianiense
Marlon Freitas,Volante,1.0,Atlético Goianiense
Rithely,Volante,0.75,Atlético Goianiense
Willian Maranhão,Volante,0.7,Atlético Goianiense
Matheus Barbosa,Volante,0.475,Atlético Goianiense
Matheus Pereira,Volante,0.35,Atlético Goianiense
Rickson,Volante,0.3,Atlético Goianiense
André,Volante,0.1,Atlético Goianiense
Baralhas,Meia Central,0.1,Atlético Goianiense
Victor Paraíba,Meia Esquerda,0.2,Atlético Goianiense
João Paulo,Meia Ofensivo,0.65,Atlético Goianiense
Chico,Meia Ofensivo,0.6,Atlético Goianiense
Matheus Oliveira,Meia Ofensivo,0.05,Atlético Goianiense
Arthur Gomes,Ponta Esquerda,1.8,Atlético Goianiense
Jonas Toró,Ponta Esquerda,1.7,Atlético Goianiense
Danilo Gomes,Ponta Esquerda,0.45,Atlético Goianiense
Wellington Rato,Ponta Esquerda,0.35,Atlético Goianiense
Vitor Leque,Ponta Esquerda,0.25,Atlético Goianiense
Janderson,Ponta Direita,2.0,Atlético Goianiense
André Luis,Ponta Direita,0.9,Atlético Goianiense
Roberson,Seg. Atacante,0.2,Atlético Goianiense
Brian Montenegro,Centroavante,1.0,Atlético Goianiense
Zé Roberto,Centroavante,0.9,Atlético Goianiense
Pablo Dyego,Centroavante,0.35,Atlético Goianiense
Everson,Goleiro,1.5,Atlético Mineiro
Rafael,Goleiro,0.75,Atlético Mineiro
Michael,Goleiro,0.4,Atlético Mineiro
Matheus Mendes,Goleiro,0.25,Atlético Mineiro
Júnior Alonso,Zagueiro,3.5,Atlético Mineiro
Igor Rabello,Zagueiro,3.5,Atlético Mineiro
Gabriel,Zagueiro,0.95,Atlético Mineiro
Réver,Zagueiro,0.6,Atlético Mineiro
Nathan Silva,Zagueiro,0.6,Atlético Mineiro
Bueno,Zagueiro,0.5,Atlético Mineiro
Guilherme Arana,Lateral Esq.,5.5,Atlético Mineiro
Dodô,Lateral Esq.,1.0,Atlético Mineiro
Guga,Lateral Dir.,7.0,Atlético Mineiro
Mariano,Lateral Dir.,0.7,Atlético Mineiro
Talison,Lateral Dir.,0.05,Atlético Mineiro
Jair,Volante,2.5,Atlético Mineiro
Neto,Volante,0.05,Atlético Mineiro
Tchê Tchê,Meia Central,4.0,Atlético Mineiro
Allan,Meia Central,3.5,Atlético Mineiro
Alan Franco,Meia Central,3.0,Atlético Mineiro
Calebe,Meia Central,0.8,Atlético Mineiro
Matías Zaracho,Meia Ofensivo,9.0,Atlético Mineiro
Nacho Fernández,Meia Ofensivo,6.0,Atlético Mineiro
Hyoran,Meia Ofensivo,2.2,Atlético Mineiro
Nathan,Meia Ofensivo,2.0,Atlético Mineiro
Keno,Ponta Esquerda,3.0,Atlético Mineiro
Jefferson Savarino,Ponta Direita,5.5,Atlético Mineiro
Sávio,Ponta Direita,5.0,Atlético Mineiro
Dylan Borrero,Ponta Direita,0.9,Atlético Mineiro
Eduardo Vargas,Seg. Atacante,3.0,Atlético Mineiro
Diego Costa,Centroavante,6.0,Atlético Mineiro
Marrony,Centroavante,3.8,Atlético Mineiro
Eduardo Sasha,Centroavante,3.2,Atlético Mineiro
Hulk,Centroavante,2.5,Atlético Mineiro
Diego Tardelli,Centroavante,0.9,Atlético Mineiro
Richard,Goleiro,0.5,Ceará
João Ricardo,Goleiro,0.4,Ceará
Vinicius Machado,Goleiro,0.05,Ceará
Luiz Otávio,Zagueiro,0.6,Ceará
Messias,Zagueiro,0.525,Ceará
Klaus,Zagueiro,0.45,Ceará
Gabriel Lacerda,Zagueiro,0.3,Ceará
Alan,Zagueiro,0.25,Ceará
Jordan,Zagueiro,0.05,Ceará
Bruno Pacheco,Lateral Esq.,0.8,Ceará
Kelvyn,Lateral Esq.,0.2,Ceará
Gabriel Dias,Lateral Dir.,0.75,Ceará
Eduardo,Lateral Dir.,0.35,Ceará
Buiú,Lateral Dir.,0.125,Ceará
Fabinho,Volante,0.5,Ceará
Willian Oliveira,Volante,0.325,Ceará
William Oliveira,Volante,0.3,Ceará
Marthã,Volante,0.25,Ceará
Fernando Sobral,Meia Central,0.9,Ceará
Charles,Meia Central,0.85,Ceará
Marlon,Meia Central,0.325,Ceará
Pedro Naressi,Meia Central,0.25,Ceará
Vina,Meia Ofensivo,1.5,Ceará
Jorginho,Meia Ofensivo,0.8,Ceará
Wescley,Meia Ofensivo,0.4,Ceará
Felipe Silva,Meia Ofensivo,0.375,Ceará
Stiven Mendoza,Ponta Esquerda,2.0,Ceará
Vitor Jacaré,Ponta Esquerda,0.3,Ceará
Yony González,Ponta Direita,1.6,Ceará
Lima,Ponta Direita,1.1,Ceará
Erick,Ponta Direita,0.3,Ceará
Rick,Ponta Direita,0.05,Ceará
Gabriel Santos,Ponta Direita,0.025,Ceará
Felipe Vizeu,Centroavante,1.2,Ceará
Cléber,Centroavante,1.0,Ceará
Jael,Centroavante,0.45,Ceará
Saulo Mineiro,Centroavante,0.25,Ceará
Cristiano,Centroavante,0.025,Ceará
Cássio,Goleiro,2.0,Corinthians
